hub;cluster;keyword;frequency;relevance
H1;К1;сколько можно пить;318405;полностью
H1;К1;можно ли пить алкоголь;135869;полностью
H1;К1;сколько алкоголя можно;81921;полностью
H1;К1;сколько дней алкоголь;27552;полностью
H1;К1;через сколько можно пить алкоголь;25475;полностью
H1;К1;сколько выпил алкоголя;20563;полностью
H1;К1;норма алкоголя;15818;полностью
H1;К1;количество алкоголя;12318;полностью
H1;К1;сколько нужно алкоголя;10382;полностью
H1;К1;промилле это сколько алкоголя;8200;частично
H1;К1;сколько можно выпить алкоголя;6014;полностью
H1;К1;допустимая норма алкоголя;5318;полностью
H1;К1;безопасный алкоголь;3279;полностью
H1;К1;сколько можно употребить алкоголя;3096;полностью
H1;К1;норма алкоголя за рулем;3054;частично
H1;К1;допустимая норма алкоголя за рулем;2798;частично
H1;К1;сколько можно пить в неделю;1846;полностью
H1;К1;норма алкоголя в крови;1505;частично
H1;К1;норма алкоголя в выдыхаемом;1358;частично
H1;К1;норма алкоголя воздухе;1347;частично
H1;К1;норма алкоголя в выдыхаемом воздухе;1293;частично
H1;К1;рекомендации по алкоголю;1074;полностью
H1;К1;безопасные дозы алкоголя;1071;полностью
H1;К1;какая норма алкоголя;1025;полностью
H1;К1;безопасная доза алкоголя;986;полностью
H1;К1;россия норма алкоголя;850;полностью
H1;К1;сколько норма алкоголя;674;полностью
H1;К1;нормы алкоголя для водителей;631;частично
H1;К1;допустимая норма алкоголя в выдыхаемом;602;частично
H1;К1;допустимая норма алкоголя в воздухе;581;частично
H1;К1;допустимая норма алкоголя в выдыхаемом воздухе;574;частично
H1;К1;норма алкоголя в крови водителя;547;частично
H1;К1;допустимая норма алкоголя в крови;521;частично
H1;К1;норма алкоголя в выдыхаемом воздухе водителя;498;частично
H1;К1;допустимая норма алкоголя за рулем 2026;458;частично
H1;К1;норма алкоголя в год;439;полностью
H1;К1;допустимая норма алкоголя россия;362;полностью
H1;К1;норма алкоголя в день;341;полностью
H1;К1;допустимая норма алкоголя 2025;316;полностью
H1;К1;норма алкоголя за рулем 2025;301;частично
H1;К1;какая допустимая норма алкоголя;275;полностью
H1;К1;допустимая норма алкоголя за рулем 2025;271;частично
H1;К1;допустимые нормы алкоголя для водителей;268;частично
H1;К1;нормы алкоголя за рулем в россии;238;частично
H1;К1;норма алкоголя время;233;полностью
H1;К1;допустимая норма алкоголя в год;229;полностью
H1;К1;допустимая норма алкоголя за рулем в россии;218;частично
H1;К1;допустимая норма алкоголя мг л;199;частично
H1;К1;норма алкоголя для человека;183;полностью
